A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,bin
7.587222733416949e-07,3.513855273127329e-07,7.308713051920006e-08,7.41118701057e-08,4.9845531636279954e-08,1.8025242873679712e-08,1.4028531093254984e-08,4.649235456324007e-08,1.7556733870000154e-08,3.13131143474499e-08,8.011558568920269e-07,3.5130380665064483e-07,train
3.9992251321324e-07,3.7211480347056886e-07,7.308831896389995e-08,7.413317901780001e-08,4.9846152616320076e-08,1.8025435463319737e-08,1.4171947380104125e-08,4.6479629737099937e-08,1.755917912879993e-08,3.1325680992129905e-08,4.018373900085667e-07,3.724025508500543e-07,train
9.551924716837158e-07,2.028909551603099e-07,7.309069949979986e-08,7.4107127952e-08,4.9845471510249916e-08,1.802556511885986e-08,1.3960002269439018e-08,4.650085195410989e-08,1.755578440879987e-08,3.142420196520002e-08,1.3226321235057943e-06,1.999638227728568e-07,train
2.2309978206753995e-07,3.012237349532029e-07,7.30907510727001e-08,7.415164058970008e-08,4.984654423995003e-08,1.8025567747779714e-08,1.4244817633666887e-08,4.647378128946003e-08,1.7560502831299867e-08,3.133805646952011e-08,2.1757752207292287e-07,3.002683841613012e-07,train
9.564715426920015e-07,9.672511171806665e-07,7.308026667079967e-08,7.409170935539994e-08,4.984656911366005e-08,1.8026223858440172e-08,1.3964977649532077e-08,4.6499625559049913e-08,1.7556661212600046e-08,3.14290869942499e-08,1.3356712173705147e-06,1.190359818424114e-06,train
7.879106437177349e-07,9.694357412427956e-07,7.30796727958001e-08,7.40982178930001e-08,4.984647982311991e-08,1.802604878371016e-08,1.4022561376409995e-08,4.649266821370004e-08,1.755743416300007e-08,3.1315482315099923e-08,8.401988892169055e-07,1.2095446686612639e-06,train
9.638620508444844e-07,9.813714871410742e-07,7.308365424960005e-08,7.409277139659977e-08,4.984718136831987e-08,1.8027062585809885e-08,1.3967925443209992e-08,4.650122391956998e-08,1.7557324939700086e-08,3.146256805499996e-08,1.4276975596168988e-06,1.3852193033095163e-06,train
9.645719248336598e-07,8.609943905763597e-07,7.307946461139985e-08,7.409310268679986e-08,4.984600589108994e-08,1.8025448594349746e-08,1.3960718467255996e-08,4.649953883398993e-08,1.7556116043700017e-08,3.146380623147e-08,1.438474713708052e-06,9.025040554444738e-07,train
5.146102208232801e-07,8.142928935646488e-07,7.307995823269998e-08,7.411576235989992e-08,4.984616423595987e-08,1.802524356654991e-08,1.4126350799380014e-08,4.6482299255779973e-08,1.7558571248999957e-08,3.131830401624009e-08,5.226265133669032e-07,8.419723023461834e-07,train
5.313198894748748e-07,8.009563820735627e-07,7.308007053079998e-08,7.411505114540001e-08,4.9846163184479743e-08,1.8025213093630343e-08,1.4119506773451862e-08,4.6482928792539834e-08,1.7558438776799998e-08,3.1317410033179836e-08,5.404773055247592e-07,8.259056876567983e-07,train
